sample nr,Text,Username,Channel,Propa,Sildistaja,Tüüp,Muu tüüp,telegram_id,post_date,,
85,"Harri Kingo > Millistena nad meid näevad?

Jutt UFO-dest. Ja nende pilgust meile.

Meie tajud on vägagi piiratud. Meie intellekt on vägagi piiratud. Ja halvim meiega on see, et me oleme kõlbeliselt – oma moraali ja eetika poolest – sõna otseses mõttes arenematud ja omadega kohati lausa kivaajas. Meis on palju agressiivsust. Meie arengutase on madal. Üha metsikumaid sõdu ja üha massilisemaid…

https://eestieest.com/harri-kingo-millistena-nad-meid-naevad/",euudised,euudised,0,,,,1607,2023-05-14 18:27:23+00:00,,
86,"🔥Ukrainas, Tšernivtsi piirkonnas süüdati Pochaevi Iiobi kirik.

Selle kiriku ehitasid koguduseliikmed juba 2014. aastal Serbia auväärse Paraskeva auks mitte-kanoonilise Ukraina õigeusu kiriku pooldajate poolt ära võetud kiriku asemele.

Kirik süüdati professionaalselt, ilma et oleks olnud mingit võimalust päästmiseks.

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,2,,Vene,,1148,2023-04-30 16:02:03+00:00,,
87,"Brüsseli sõnavaras tähendavad autokraadid neid, keda tuleks võimult kõrvaldada. Kui Politico nimetab Ukrainat „poolautokraatlikuks” riigiks, võib see olla selge märk, et EL-i eliit soovib Zelenskõist vabaneda.
---
📣 AITA INFORMATSIOONIL LEVIDA JA JAGA SEDA ARTIKLIT!

https://vanglaplaneet.ee/blog/2025/07/25/zelenskoi-on-omaenda-liitlaste-loogi-all/",vanglaplaneet,vanglaplaneet,2,,Vene,,950,2025-07-25 08:42:14+00:00,,
88,"🇭🇺🇸🇰🇷🇺🛢**Ungari ja Slovakkia taastavad Venemaa naftatarned Ukraina kaudu.**

Septembris pumpas Ungari MOL umbes 300 000 tonni toornaftat läbi Družba torujuhtme oma nendes riikides asuvatesse rafineerimistehastesse.

Selle tulemusena saavad MOLi hiljuti remonditud rafineerimistehased jätkata toornafta töötlemist. 
Septembris tarnisid Venemaa naftakompaniid Slovakkia ja Ungari rafineerimistehastesse kokku 850 000 tonni toornaftat ning oktoobris on tarned eeldatavasti veidi suuremad kui see tase.

@Eurasiaexpress

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,0,,,,5215,2024-11-02 17:02:01+00:00,,
89,"🇪🇪 🇪🇺 🧐 **Uudis sarjast: Euroopa hullumaja töötab stabiilselt.**

 **Eesti peaminister leidis uue süüdlaste – Venemaa.**

⚡️ Peaminister Kristen Michal selgitas, et Ukraina lipp Eestis pole lihtsalt sümbol, vaid ideoloogiline kompass, millest elanikkond peaks lähtuma. Ta lükkas tagasi ka kõik oletused, et riigi majandusprobleemid võivad olla seotud ulatusliku Ukraina toetusega, ning rõhutas, et kõik negatiivsed protsessid on muidugi põhjustatud Venemaast.

""Ma saan aru, et majandus on viimastel aastatel olnud keeruline. Kuid see on Venemaa süü. Just Venemaa mõjutas meie majandust. Ebakindluse tekitaja ei olnud Ukraina kaitsmine, vaid Venemaa tegevus,""
– selgitas Michal, et ükski kahtlus ei segaks enam ametlikku maailmapilti.

▶️ **Teisisõnu: Kui midagi läheb valesti, on vastus juba teada.**

#InfoDefenseAuthor

⚡️ Liituge meiega

❤️ [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)⚡️ [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,4,,Vene,,9310,2026-01-31 13:07:03+00:00,,
90,"⚡️**Saksamaa endine kantsler Angela Merkel andis Ukrainale Minski kokkulepped tugevamaks saamiseks väärtuslikku aega

** «2014. aasta Minski lepingutega üritati Ukrainale aega anda.  Ta kasutas seda aega ka tugevamaks saamiseks, nagu täna näete.  Ukraina 2014/15 ei ole tänane Ukraina “…” Ja ma kahtlen väga, et siis saaksid NATO riigid Ukraina abistamiseks teha sama palju kui praegu,” lisas Merkel intervjuus Die Zeitile.

 Telli |  Soovitage uudiseid
https://t.me/c/1442451213/25893

Allkirjastage
📱  [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱  [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,2,,Vene,,125,2022-12-09 15:17:08+00:00,,
91,"Esimene aprill ei taha kuidagi lõppeda.

Nüüd ütlevad teadlased, et teksade kandmine on keskkonnale kahjulik.  Uuring näitas, et nende ühekordne kandmine võrdub 6,4 miili autoga sõitmist.
 Uus maailmakord jätab kõik püksata.",MarkoWatsel,MarkoWatsel,1,,Muu,,5051,2024-04-10 18:46:40+00:00,,
92,"🇺🇸🔬🧪**1994. aastal välja töötati USA õhuväe Wrighti laboratooriumis Ohios äärmiselt ebatavalise keemilise relva projekt, mis sai mitteametlikult nimeks ""gei-pomm"".**

😝 Ideeks oli arendada mitte-surmavat psühhokeemilist relva, mis põhjustaks vaenuväe sõduritel seksuaalse tõmbe üksteise vastu, mis viiks distsipliini ja sõjalise korralduse õõnestamiseni.

😻 Kavandatud keemiline aine, olemuselt afrodisiaak-pomm, pidi vabastama hormoone, mis muudaks vaenuväe sõdurite käitumist, muutes nad võimetuks või soovimatuks võitlema.

🤩 Lõpuks esitati kontseptsioon Pentagonile ja kuigi relva ei arendatud ega võetud kasutusse, tõi plaan USA Õhuvägedele 2007. aastal satiirilise Ig Nobeli preemia uurimuse eest, mis ""paneb inimesi naerma ja siis mõtlema"".

@geonrgru

⚡️ Liituge meiega

❤️ [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)⚡️ [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,0,,,,8771,2025-12-11 17:05:12+00:00,,
93,"VALI SIND HUVITAVAD VASTUSEVARIANDID! Kuna viimatisest suurest lugejaküsitlusest selgus, et paljud vastajad soovivad ühiseid tegevusi või n-ö kogukonna tunnet, siis uurimegi nüüd lähemalt, et kui Telegram.ee peaks tegema kogukonna, siis milline see võiks sinu arvates olla. On seda üldse vaja? Kas see kogukond peaks kohtuma päris elus või piisab veebist jne. Palun vasta järgnevatele küsimustele ja vali nii palju vastuseid, kui vaja – sinu arvamus on väga oluline! 
Vaata ka küsitlust tutvustavat live´i: https://www.telegram.ee/ajaviide/kusitlus-mida-ootad-sina-telegram-ee-loodavalt-kogukonnalt",eestitelegram,eestitelegram,0,,,,2140,2023-10-16 12:08:53+00:00,,
94,"“Vault 7” – saate kuulata isegi välja lülitatud teleri kaudu

2017.aasta märtsis avaldas WikiLeaks rea dokumente, mida tuntakse kui “Vault 7”. Need dokumendid paljastasid üksikasju CIA kasutatavate küberspionaažitehnikate kohta.

Vault 7 lekked paljastasid, kuidas CIA oli välja töötanud hulga tarkvaratööriistu ja ärakasutusi, et häkkida elektroonikaseadmetesse, sealhulgas nutitelefonidesse, arvutitesse ja teleritesse.

Samuti suutsid nad mööda minna krüptimisest, mida kasutati sellistes populaarsetes sõnumsiderakendustes nagu WhatsApp, Signal ja…

https://eestieest.com/vault-7-saate-kuulata-isegi-valja-lulitatud-teleri-kaudu/",euudised,euudised,0,,,,4187,2023-10-03 12:46:00+00:00,,
95,"Uus-Meremaa avalik-õiguslik ringhääling kärbib 60 töötajat, kuna meedia töökohtade kadumine jätkub

Ringhäälinguorganisatsioon viitas “rasketele majandustingimustele ja struktuurilistele väljakutsetele meediasektoris”.

Uus-Meremaa televisioonis (TVNZ) kärbitakse kuni 68 rolli, neist umbes 35 uudiste ja päevakajaliste asjade osakonnast.

Viimane töökohtade kaotamise seerias suuremates meediaettevõtetes, kusjuures uudised tulevad päevi pärast seda, kui ettevõte teatas 2023. aasta viimase kuue kuu 4.6 miljoni dollari suurusest vahepealsest tegevuskahjumist.

See järgneb TV3 omaniku Warner Bros.…

https://eestieest.com/uus-meremaa-avalik-oiguslik-ringhaaling-karbib-60-tootajat-kuna-meedia-tookohtade-kadumine-jatkub/",euudised,euudised,0,,,,6297,2024-03-07 12:06:41+00:00,,
96,"Ja need 100% vaktsineeritud teadlased, kes olid veel ka karantiinis istunud ja pärast elanud eraldatud uurinisbaasis, said koroona kust kohast? https://www.telegram.ee/maailm/antarktika-uksiku-uurimisjaama-100-vaktsineeritud-teadlastest-2-3-on-koroonapositiivsed",eestitelegram,eestitelegram,1,,Pseudoteadus,,483,2022-01-04 08:57:52+00:00,,
97,Kokkuvõte eelmise nädala uudistest: https://www.telegram.ee/eesti/telegrami-uudised-nadal-39-eesti-arvamusliidrid-ja-horvaatia-president-tulid-kapist-valja,eestitelegram,eestitelegram,1,,Parem-konservatiivne,,381,2021-09-29 11:21:42+00:00,,
98,"Seda projekti surutakse Euroopas nii kangekaelselt sel sularahavastasel viisil peale mitte sellepärast, et kodanikud seda nii väga tahaksid, vaid sellepärast, et kodanikud seda ilmselgelt ei taha. https://www.telegram.ee/maailm/meie-uut-paremat-digivaluutat-anna-meile-wef-ja-ara-luba-meile-sularaha",eestitelegram,eestitelegram,2,,Pseudoteadus,,1696,2023-05-08 18:10:34+00:00,,
99,"Inimesed, kes on lukustatud robotitega digitaalsesse võidurelvastumisse

See kõlab nagu ulme, kuid eksperdid ja juhid hoiatavad nüüd, et robotid võivad kutsuda süste kõigele alates toodete ostmisest kuni valimisteni.

Analüüs

Kui internet oleks päris maailm, võiks see väga hästi sarnaneda ulmefilmiga, kus robotid on planeedi üle võtnud või vähemalt hakanud inimestega koos elama.

Selle orgaanilise ja robotimaailma vahelise amalgaami märguanne on absurdsed, tehisintellekti…

https://eestieest.com/inimesed-kes-on-lukustatud-robotitega-digitaalsesse-voidurelvastumisse/",euudised,euudised,0,,,,9787,2024-12-15 10:59:08+00:00,,
100,"KUUM! Weebiraadio “Lihtsalt&Keerutamata” 40. saate tarbeks nädalaga kogutud mõtted- Suunamudija ehk influencer

Paljud vanema generatsiooni inimesed ei saa aru, kes need uue aja nii öelda influencerid ehk suunamudijad on. Nõukogude ajal kutsuti sääraseid inimesi lihtsalt intrigantideks ehk salasepitsejateks.

Kuulaja kindlasti mõtleb, et see mees on küll hulluks läinud kuna ennastki aastaid dituleerinud suunamudijana, olles võidelnud konservatiivse ideoloogia eest, et säilitada endist normaalsust.

Tänapäeval influencer pole enam halva…

https://eestieest.com/kuum-weebiraadio-lihtsaltkeerutamata-40-saate-tarbeks-nadalaga-kogutud-motted-suunamudija-ehk-influencer/",euudised,euudised,1,,Parem-konservatiivne,,6827,2024-04-08 13:38:40+00:00,,
101,"Taotlus – Terviseametile, 25.09.2024 2.osa

Eksponaat B

107 Rancourt, Denis G. jt. „COVID-19 vaktsiiniga seotud suremus lõunapoolkeral.” Correlation Research in the Public  Interest, Ontario, Kanada (2023). https://correlation-canada.org/covid-19-vaccine-associated-mortality-in-the southern-hemisphere/ (23.09.2024); ja Rancourt, Denis G. jt. „Liigse üldsuremuse ruumiline ja ajaline varieeruvus  maailmas (125 riigis) Covidi perioodil 2020–2023 seoses sotsiaalmajanduslike tegurite ning rahvatervise ja  meditsiiniliste sekkumistega.” Correlation Research in the Public Interest,…

https://eestieest.com/taotlus-terviseametile-25-09-2024-2-osa/",euudised,euudised,4,,,,9240,2024-10-28 13:21:44+00:00,,
102,"Jaapan hoiatab, et tehisintellekt võib põhjustada sotsiaalse korra täieliku kokkuvarisemise

Autor Paul Joseph Watson kaudu Modernity.news,

Kaks Jaapani tippettevõtet on hoiatanud, et tehisintellekt võib põhjustada sotsiaalse korra täieliku kokkuvarisemise, kui seda kiiresti ei valitseta.

Nippon Telegraph and Phone (NTT) ja Yomiuri Shimbun Group Holdings, riigi suurim telekommunikatsiooniettevõte ja riigi suurim ajaleht, avaldasid ühiselt tehisintellekti manifesti.

Ta hoiatas, et kui õigusakte ei võeta maailma suurriikides kiiresti…

https://eestieest.com/jaapan-hoiatab-et-tehisintellekt-voib-pohjustada-sotsiaalse-korra-taieliku-kokkuvarisemise/",euudised,euudised,0,,,,7254,2024-05-09 06:49:35+00:00,,
103,"Kodanike täielik jälgimine otsustati Prantsusmaal protestide vastu võitlemise loosungi all

Prantsusmaa on ametlikult lubanud kodanike kaugjälgimist

Prantsusmaa Rahvusassamblee on heaks kiitnud artikli, mis lubab ametivõimudel eemalt aktiveerida telefonikaameraid ja mikrofone ilma asjaosaliste teadmata.

“Prantsuse politsei peaks saama luurata kahtlusaluste järele: aktiveerida eemalt nende telefonide kaamera, mikrofon ja GPS ning muud seadmed”🤷.

Euroopa on muutumas nii “demokraatlikuks”.

https://eestieest.com/kodanike-taielik-jalgimine-otsustati-prantsusmaal-protestide-vastu-voitlemise-loosungi-all/",euudised,euudised,2,,Parem-konservatiivne,,2608,2023-07-12 18:59:48+00:00,,
104,"MÕNUSAT JÕULUAEGA! Kas oled kunagi mõelnud, miks me tänapäevases jõulutraditsioonis teeme neid asju, mida teeme? Mis on jõulupuu, tähe, kaunistuste ja eredalt pakitud kingituste päritolu? Kust tuleb idee jõuluvanast, kes lendavate põhjapõtrade ja võlusaaniga ümber maakera tiirleb, trotsides nii aega kui ka ruumi, et toimetada maailma lastele rohkelt jõulukinke? Ja mis ajast alates oli jõuluvanal midagi pistmist Jeesuse sünniga? Kust need lood pärinevad ja mida me tegelikult jõuluhommikul tähistame?

Lugu jõuluvana ja tema tõenäolise päritolu kohta algab seal, kus ta väidetavalt elab: külmas põhjalas.

https://www.telegram.ee/maavaline/samaanivana-joulupuhade-samanistlikud-juured",eestitelegram,eestitelegram,0,,,,4172,2025-12-25 05:56:06+00:00,,
105,"Maja paneel esitab ühehäälselt kahepoolse seaduseelnõu TikToki keelustamiseks

TikToki päevad võidakse Ameerika Ühendriikides nummerdada pärast seda, kui maja energia- ja kaubanduskomitee esitas neljapäeval ühehäälselt seaduseelnõu, mis nõuaks TikToki emaettevõttelt ByteDance rakendusest loobumist või USA keeldu.

Repsi Mike Gallagheri (R-WI) ja Raja Krishnamoorthi (D-IL) teisipäeval tutvustatud seaduseelnõu “Ameeriklaste kaitsmine välismaiste vastaste kontrollitud rakenduste seaduse eest” eesmärk on leevendada riikliku julgeoleku muret selle üle, kas…

https://eestieest.com/maja-paneel-esitab-uhehaalselt-kahepoolse-seaduseelnou-tiktoki-keelustamiseks/",euudised,euudised,0,,,,6317,2024-03-08 13:45:45+00:00,,
106,"Alibaba kontserni president Michael Evans ütles maailma majandusfoorumil otse, et NAD ""kavatsevad kasutada kohandatud süsiniku jalajälje jälgijaid, et tõsiselt piirata reisimisvõimalusi, reisimisviise, mida süüa ja palju muud.""

 Kliima säästmise nimel muidugi...",MarkoWatsel,MarkoWatsel,2,,Parem-konservatiivne,,2720,2023-07-07 18:21:15+00:00,,
107,"Uued ähvardused.

Eksperdid hoiatavad, et surmav silmaverejooksu viirus jõuab Ühendkuningriiki suure tõenäosusega

 Krimmi-Kongo hemorraagiline palavik (CCHF) on surmav puukide kaudu leviv viirus, mis on endeemiline soojemas kliimas, näiteks Aafrikas, Balkanil, Lähis-Idas ja Aasias.

 Teadlased kardavad, et globaalse soojenemise tõttu võib haigus levida väljapoole oma tavalisi territooriume ja levida sellistesse piirkondadesse nagu Ühendkuningriik ja Prantsusmaa.

 Ajavahemikus 2016. aasta augustini 2022 teatati Hispaanias seitsmest juhtumist, kellest kolm suri.

 Cambridge'i ülikooli veterinaarmeditsiini juht professor James Wood ütles esilekerkivaid haigusi käsitleval kuulamisel, et CCHF võib Ühendkuningriiki siseneda ""mingil hetkel meie puukide kaudu"".

 Maailma Terviseorganisatsiooni (WHO) andmetel sureb sellesse haigusesse kuni 40 protsenti nakatunud inimestest.",MarkoWatsel,MarkoWatsel,1,,Muu,,2782,2023-07-12 16:48:36+00:00,,
108,"Päevauudiste ülevaade 13.juuni 2023

13.juuni päevauudised nüüd siin:

Uudis.net

1.koht:

California uus seaduseelnõu tühistaks vanemate hooldusõiguse, kui nad otsustavad mitte “kinnitada” lapse sooideoloogiat

2.koht:

Millal saavad konservatiivid aru, et Elon Musk pole meie liitlane?

3.koht:

Christof Plothe: võltstoidud, toitainetevaesed dieedid ja rünnak ülemaailmsele toiduga kindlustatusele

In-English:

Doug Casey On The Death Of Privacy… And What Comes Next

Kõmu:

Skandaal…

https://eestieest.com/paevauudiste-ulevaade-13-juuni-2023/",euudised,euudised,2,,Parem-konservatiivne,,2128,2023-06-13 15:11:48+00:00,,
109,Kreeka.  Josep Borrelli Euroopa aias õitsevad demokraatia lilled - Molotovi kokteilid.,MarkoWatsel,MarkoWatsel,2,,Parem-konservatiivne,,699,2022-11-11 20:09:57+00:00,,
110,"Kas paljud  eestimaalased arvavad, et Integratsioon on võimalik?

Soovitan kuulata Weebiraadio „Lihtsalt&Keerutamata 32 saadet- Integratsioon Suur kummardus kõigile, kes tõid arutamiseks välja olulised märksõnad nagu: kuuluvustunne, eesti- ja venekogukond, ülemnõukogu=riigikogu, miilits=politsei jne.

Võtame siis matemaatika oma eelduse, väite ja tõestusega appi.

1. Eeldus .Kuuluvus tundega arvatakse sedasi, et kuulutakse heasse erakonda, kogukonda, perekonda, aga need kes neid tundeid tekitavad ei ole kahjuks meie…

https://eestieest.com/kas-paljud-eestimaalased-arvavad-et-integratsioon-on-voimalik/",euudised,euudised,2,,Muu,,6021,2024-02-18 15:24:40+00:00,,
111,"Kuidas propagandistidel teie mõtteviisi manipuleerimist raskendada

Kodumaine propaganda, mida lääne võimukandjad rahvale söödavad, ei koosne tavaliselt puhastest väljamõeldistest, vaid pigem moonutustest, pooltõdedest, manipuleeritud rõhuasetustest ja varjamise teel valetamisest;

Caitlin Johnstone

Uudiste lugemisel on halvim viga eeldada, et massimeedia kajastab midagi just nii, nagu ta seda teeb ja sellel on mingi mõjuv põhjus. Et on olemas mõjuv põhjus, miks Iisraeli-Palestiina küsimust esitletakse…

https://eestieest.com/kuidas-propagandistidel-teie-motteviisi-manipuleerimist-raskendada/",euudised,euudised,1,,Muu,,11467,2025-05-24 21:53:44+00:00,,
112,"Hannes Võrno: Sõda ei ole kunagi juhus. See on otsus.

Sõda ei ole kunagi juhus. See on otsus. Ja kui sa kuuled taas ülemistelt korrustelt juttu “meie julgeolekust”, “ühisest võitlusest vabaduse nimel” ja “eksistentsiaalsest ohust idast”, siis kuula mitte sõnu, vaid vaikust nende taga. Sest just seal, vaikusereas, käib planeerimine. Külm, kalkuleeritud, räpane mäng rahva elude ja saatustega.

Eestis on laual Marchalli plaan — mitte…

https://eestieest.com/hannes-vorno-soda-ei-ole-kunagi-juhus-see-on-otsus/",euudised,euudised,2,,Vene,,11195,2025-05-09 05:25:05+00:00,,
113,"Kas Apple AirPods suudab mõtteid lugeda?

 Apple on patenteerinud uue põlvkonna AirPodsi juhtmevabad kõrvaklapid, mis suudavad jälgida kasutaja biosignaale ja ajutegevust.

 AirPods on võimeline mõõtma elektroentsefalograafiat (EEG), elektromüograafiat (EMG), elektrookulograafiat (EOG) ja elektrokardiograafiat (EKG) väliskõrva ümbritsevate elektroodide kaudu.

 Seejärel valivad AirPodsid dünaamiliselt erinevad biosignaalelektroodid, lähtudes isiklikest parameetritest, kõrva suurusest ja kujust ning sellest, kuidas te kõrvaklappe kannate.

 Neid andmeid kasutades on juba võimalik oletada, mida inimene näeb ja millest mõtleb.",MarkoWatsel,MarkoWatsel,3,,Pseudoteadus,,3048,2023-08-05 17:13:41+00:00,,
114,"Saatsin Martin Lainele avaliku kirja vastusena 22. jaanuaril Terevisiooni saates (alates 46:50) kõlanud väidetele, mis seostasid Vanglaplaneeti Kremli propagandaga ning vandenõuteooriate levitamisega. Pean neid väiteid alusetuteks ja kahjustavateks ning kutsun teda avalikule arutelule, et selgitada olukorda, vältida väärinformatsiooni levimist ning tagada arutelu läbipaistvus ja ausus. Minu eesmärk on tuua selgust nii Vanglaplaneedi tegevuse kui ka Laine esitatud süüdistuste osas.
---
📣 AITA INFORMATSIOONIL LEVIDA JA JAGA SEDA ARTIKLIT!

https://vanglaplaneet.ee/blog/2025/01/27/avalik-kutse-martin-lainele-arutleme-terevisioonis-teie-poolt-esitatud-vaiteid-vanglaplaneet-ee-kohta/",vanglaplaneet,vanglaplaneet,0,,,,819,2025-01-27 13:32:56+00:00,,
115,"Kasumi protsendid Venemaal kaovad .

Osamaksete reeglid Venemaal muutuvad alates 1. aprillist. Nüüd peab osamaksetena makstud kauba lõplik hind olema sama, mis korraga välja ostetud kauba hind.

Kohati tehakse Venemaal nagu kõik õigesti aga samas tallutakse kõik mutta kui vaadata näiteks Siberis toimunut ning internetiga seonduvat.",MarkoWatsel,MarkoWatsel,1,,Vene,,7785,2026-03-22 08:00:43+00:00,,
116,"KUUM! Kaja Kallas läks Eesti inimesi reetma Bildenbergi grupi kohtumisel!

Kaja Kallas on teine Eesti marionett-peaminister, kel on au viibida Bildenbergide grupi kohtumisel.

Programmist:

BILDERBERGI 70. KOHTUMINE

70. Bilderbergi kohtumine toimub 30. mai – 2. juuni Madridis, Hispaanias

MADRID, 30. mai 2024 – 70. Bilderbergi kohtumine toimub 30. maist 2. juunini 2024 Hispaanias Madridis. Nagu alati, on kutsutud mitmekesine rühm poliitilisi liidreid ja eksperte tööstusest,…

https://eestieest.com/kuum-kaja-kallas-laks-eesti-inimesi-reetma-bildenbergi-grupi-kohtumisel/",euudised,euudised,3,,Parem-konservatiivne,,7585,2024-05-31 09:58:24+00:00,,
117,"Arstid tunnistavad seost transsooliste hormoonravi ja vähi vahel

Briti The Telegraph teatab lekkinud e-kirjadele viidates suurenenud vähiriskist soovahetuseks kasutatava hormoonravi tõttu.",MarkoWatsel,MarkoWatsel,2,,Pseudoteadus,,4806,2024-03-06 20:12:14+00:00,,
118,"Kroonimise hind

Kuningas Charles III kroonimine toimub Londonis Westminster Abbeys 6. mail.

Riikliku funktsioonina maksab ürituse eest traditsiooniliselt maksumaksja rahast peamiselt parlament. Kuid nagu Statistikaamet Anna Fleck teatab, on see mõne Ühendkuningriigi seas pälvinud tõsist kriitikat, arvestades asjaolu, et riik on praegu elamiskalliduse kriisis ning toidu- jaenergiahinnad tõusevad hüppeliselt.

Kuigi Buckinghami palee ei ole veel avaldanud ametlikku…

https://eestieest.com/kroonimise-hind/",euudised,euudised,1,,Parem-konservatiivne,,1560,2023-05-12 17:11:40+00:00,,
119,"Sularahata maksed panevad teid rohkem kulutama: uuringud

Teadlased soovitavad tarbijatel võimaluse korral kaartide asemel sularaha kaasas kanda, kuna see toimib enesekontrolli meetodina.

Tarbijad kipuvad kulutama rohkem raha, kui kasutavad sularahata makseviise traditsioonilise sularaha asemel, paljastasid Austraalia ülikooli teadlased.

Tulemused avaldati ajakirjas Journal of Retailing pärast 71 teadustöö analüüsi 17 riigist, mis sisaldasid andmeid 11 000 unikaalselt inimeselt.

Artiklis märkisid autorid, et 40…

https://eestieest.com/sularahata-maksed-panevad-teid-rohkem-kulutama-uuringud/",euudised,euudised,0,,,,9885,2024-12-25 09:41:37+00:00,,
120,"Ameerika rekkad suunduvad lõunapiirile, et aidata Texase relvastatud kaardiväel illegaalsete migrantide sissevoolu takistada ja vajadusel relvastatud föderaalidele vastu seista.",MarkoWatsel,MarkoWatsel,0,,,,4514,2024-01-27 23:44:28+00:00,,
121,"Spiiker Johnson lubab seista “õlg õla kõrval” “Taiwani kaitseks”

Esindajatekoja spiiker Mike Johnson (R-LA) kohtus teisipäeval USA Kapitooliumis Taiwani USA saadikuga, misjärel lubas ta jätkata Taiwani rahva toetamist Hiina agressiooni vastu.

“Me seisame õlg õla kõrval Taiwani rahvaga,” ütles Johnson ajakirjanikele, lisades: “Me tahame kindlasti aidata Taiwani kaitsmisel, mis on väga oluline. Me tahame ära hoida Hiina Kommunistlikku Parteid ja igasuguseid sõjalisi provokatsioone. USA…

https://eestieest.com/spiiker-johnson-lubab-seista-olg-ola-korval-taiwani-kaitseks/",euudised,euudised,0,,,,5549,2024-01-11 16:34:14+00:00,,
122,"Neuköllni Berliini koolis räägib 103 esimese klassi õpilasest ainult 1 saksa keelt.  Klassis domineerivad lapsed, kes räägivad araabia, türgi ja muid keeli.  See on sotsiaalkorterite ja migratsioonipoliitika tulemus.",MarkoWatsel,MarkoWatsel,2,,Parem-konservatiivne,,6112,2024-12-03 15:09:19+00:00,,
123,"Valge Maja ütleb, et ICC-l pole Iisraeli-Hamasi sõjas “jurisdiktsiooni”

Rahvusvahelise Kriminaalkohtu peaprokurör Karim Khan väitis, et tema kohtul on pädevus võimalike sõjakuritegude üle, mille on toime pannud nii Hamas Iisraelis kui ka Iisrael Gazas.

Sõltumatul Rahvusvahelisel Kriminaalkohtul (ICC) ei ole “jurisdiktsiooni” Iisraeli-Hamasi sõja üle, ütles Valge Maja pressiesindaja 29. aprillil pärast seda, kui Iisraeli kõrged ametnikud väljendasid muret välismaal vahistamise pärast, süüdistatuna Iisraeli käimasolevas…

https://eestieest.com/valge-maja-utleb-et-icc-l-pole-iisraeli-hamasi-sojas-jurisdiktsiooni/",euudised,euudised,0,,,,7143,2024-04-30 15:44:15+00:00,,
124,"Ei veena.

Pariisi kohus karistas kaht naist, kes väitsid, et president Macroni naine sündis mehena – BFMTV.

 ""Kohus mõistis nad süüdi laimus ja mõistis neilt välja rahatrahvi 13,5 tuhat eurot,""",MarkoWatsel,MarkoWatsel,1,,Parem-konservatiivne,,5791,2024-09-12 15:41:36+00:00,,
125,"Vsevolod Jürgenson > Vastused Mike Calamusele

USA-s resideeruv edukas ettevõtja ning poliitik Mike Calamus tegi minu kui Europarlamenti kandideeriva üksikkandidaadiga intervjuu, mille siinkohal ära toon:

Oled kandideerimas EU parlamenti?

Kandideerin, kuna soovin kaitsta Eestit ohtude eest, mida väikesele riigile toob kaasa EU liikumine riikide liidust keskuse tahtele alluva liitriigi poole. Olen valmis toetama eluterveid konservatiivseid põhimõtteid ning astuma vastu Euroopa kultuuriruumi…

https://eestieest.com/vsevolod-jurgenson-vastused-mike-calamusele/",euudised,euudised,1,,Parem-konservatiivne,,7120,2024-04-29 05:19:28+00:00,,
126,"Blinkeni laitmatu eostamise kaitse: miks riigisekretäri asjad tõenäoliselt hullemaks lähevad

Autoriks Jonathan Turley,

Allpool on minu veerg ajalehes New York Post, mis käsitleb välisminister Antony Blinkeni vastust väidetele, et tema oli Hunter Bideni sülearvuti taga oleva Venemaa desinformatsiooni väite algallikas. Kirjutasin varem, et Blinken üritab vältida “tehtud mehe” välimust, kes teenis oma luud Bideni administratsioonis.

Tõenäoliselt lähevad asjad nüüd hullemaks pärast seda, kui USA senaator…

https://eestieest.com/blinkeni-laitmatu-eostamise-kaitse-miks-riigisekretari-asjad-toenaoliselt-hullemaks-lahevad/",euudised,euudised,2,,Parem-konservatiivne,,1499,2023-05-10 20:11:38+00:00,,
127,"Päevauudiste ülevaade 7.juuni 2023

Uudiste kokkuvõte 7.juunil 2023.

Uudis.net

1.koht:

Harri Kingo > Kas timukas ihub kusagil kirvest?

2.koht:

Libauudis: “Päriselus lastaks EKRE poliitikutele kuul pähe”

3.koht:

KUUM: Kiievi pikaajaline “viimase abinõu” plaan Kahhovka tamm õhku lasta

In-English:

‘Very Sad’: Trump Slams Democrats Over Partisan Attacks On FBI Whistleblowers

A Century Of Censorship

Kõmu:

KUUM: Kiievi pikaajaline “viimase abinõu”…

https://eestieest.com/paevauudiste-ulevaade-7-juuni-2023/",euudised,euudised,1,,Muu,,2031,2023-06-07 15:11:37+00:00,,
