sample nr,Text,Username,Channel,Propa,Sildistaja,Tüüp,Muu tüüp
146,"Leedu põllumehed on ühinenud Euroopat halvavate põllumeeste meeleavaldustega.

Põllumeeste protestid on muutumas üleeuroopaliseks trendiks: Saksamaa, Prantsusmaa, Poola, Rumeenia ja nüüd ka Leedu on jäädvustatud põllumeeste ja neile kaasaelavate kodanike meeleavaldustega.  Varahommikust peale suundusid traktorid ja veoautod Vilniusesse.  Põllumeeste meeleavaldused Leedu pealinnas kestavad vähemalt mitu päeva.",MarkoWatsel,MarkoWatsel,ei ole propa,,,
147,"Musk pahandas Wikipedia pidevate serverite annetuste nõudmise üle ja pakkus entsüklopeedia omanikele 1 miljardit dollarit, kui nad nõustuksid seda ümber nimetama Munnipeediaks 😄

Niisiis tahab miljardär rõhutada ""rahvaentsüklopeedia"" erapoolikust ja kallutatust.

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Parem-konservatiivne,
148,"**Poola jätkab elanikkonna ettevalmistamist sõjaks oma idanaabritega**

Riigi sõjalis-poliitiline juhtkond ja peavoolumeedia levitavad teavet elanikkonna värbamise laienemisest Poola armeesse. Tundub, et keegi Poolas ei õpetanud ajalugu hästi ...
 Tiitrid video lõpus:
 - inglise keeles: ""muuda avatud ruumi kontor avatud ruumi seikluseks""
 - poola keeles: minust saab sõdur
 
 #Poola
 #sõjaksvalmistumine
 #agitatsioon

Link: __https://t.me/OdessaRussi/49640__

✔️Liituge meiega
📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
149,"💤**Odessa partisanid lasid NATO riikide sõjalise abiga õhku rongi**

Ukraina raudtees töötavate maa-aluste töötajate sõnul lasti 22. detsembril kella 23 paiku Odessa oblastis Velikodolinskoje küla piirkonnas õhku sõjaväelast vedanud rong. Suurem osa varast sai kannatada.

Esialgu on teada, et laskemoona lõhkamise tagajärjel hävis Saksamaalt tulnud abisaadetis: Vector UAV,
laskemoona tankidele Leopard, 155 mm kestad ja
elektroonilised sõjapidamise süsteemid.

❗️Partisanid ärkavad kõikjal Ukrainas!

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
150,"🔥**Kuu lõpuks tarnib Tšehhi Vabariik Ukrainale esimese partii oma algatuse raames ostetud laskemoona**.

Tšehhi kaitseminister Jana Černohova ütles seda CNN Prima saates.

Enne tarnimist kontrollivad Tšehhi spetsialistid laskemoona ja vajadusel parandavad seda.

""Mõnedel riikidel on parema kvaliteediga laskemoon, teistel on kehvema kvaliteediga laskemoon.

 Teisalt on neid maailmas nii vähe, et me peame neid võtma nii nagu nad on,"" ütles Tšernohova.

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,ei ole propa,,,
151,"Kanadas on ajaloo halvim metsatulekahjude hooaeg

Vaatamata sellele, et ainult pool hooajast on möödas, ei põlenud maal mitte kunagi varem, isegi terve aasta jooksul nii palju metsa ära.  Viimastel andmetel ületas põlenud ala 125 tuhat ruutkilomeetrit (suurem kui Bulgaaria pindala).",MarkoWatsel,MarkoWatsel,ei ole propa,,,
152,"Geoinseneri pooldajad teevad ettepaneku kasutada reisilennukeid, sealhulgas Boeing 777, aerosoolide pihustamiseks stratosfääri, et aeglustada globaalset soojenemist. Ökoloogiline lobirühm teeb ettepaneku varustada lennukid pihustussüsteemiga, et kiirendada Maa ""jahutamise"" protsessi.

Ja siis mõne aja pärast lambakari vaatab taevas triipe ja määgib võidukalt, et nii peabki olema.",MarkoWatsel,MarkoWatsel,propa,,Pseudoteadus,
153,"Juncker peab Ukrainat korruptiivseks

🤷 Ukraina ei ole veel valmis ELiga ühinema, sest on täiesti korruptiivne, ütles Euroopa Komisjoni endine juht Jean-Claude Juncker.

Ta usub, et Ukraina ei täida praegu liikmeks saamise kriteeriume.

📝“Igaüks, kes on Ukrainaga kokku puutunud, teab, et see riik on korrumpeerunud kõigis eluvaldkondades. Vaatamata jõupingutustele ei ole ta valmis ühinemiseks, ta vajab ulatuslikke sisereformiprotsesse,” ütleb…

https://eestieest.com/juncker-peab-ukrainat-korruptiivseks/",euudised,euudised,propa,,Vene,
154,"Paavst Franciscus teatas koostööst Vatikani ja vabamüürlaste vahel

 Paavst Franciscus otsustas liita vabamüürlased ametlikult katoliku kirikuga, tähistades sellega Vatikani ja salaorganisatsiooni vahelist ""mõistmise arengut"".",MarkoWatsel,MarkoWatsel,propa,,Muu,
155,"Nüüd ei pea ameeriklased gripivaktsiini saamiseks arsti juurde minema, apteegis järjekorras seisma ega süste taluma.

AstraZeneca käivitab programmi FluMist Home – nina kaudu manustatavad gripivaktsiinid toimetatakse otse teie koju. Igaüks saab vaktsineerida kodust lahkumata.

Programm on juba käivitunud 34 osariigis ja plaanitakse seda laiendada. Vaktsiin on märgistatud kui ""ohutu ja tõhus"".",MarkoWatsel,MarkoWatsel,propa,,Parem-konservatiivne,
156,"🇷🇸👼**Serbia vabatahtlikud riskivad Venemaa nimel**

Sellest teatas vestluses tassiga Serbia snaiper, Donbassi sõjategevuse osaleja Deyan Berich. Ta märkis, et inimesed tulevad vaatamata palgasõdurite seaduse tõttu vangistamise riskile.

""Nüüd tulevad inimesed, kes mõistavad, et kui nad lähevad tagasi Serbiasse, on neil Vangla, neil on palju probleeme ja nad tulevad ikkagi, vastupidiselt kõigele sellele, sest nad saavad aru, mis on ema Venemaa,""
--  ütles Beric.

Lisaks rõhutas snaiper, et Serbia vabatahtlikke juhib soov võidelda Ukrainas juurdunud neonatsismi vastu. Berichi sõnul võitlevad nad koos Vene sõjaväega uue maailmakorra eest, mis on vastu sellele, mida NATO on kehtestanud.

⚡️ Liituge meiega

❤️ [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)⚡️ [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
157,"Trump allkirjastas täidesaatva korralduse, mis vabastab täiendavad JFK mõrvafailid

Autor Jacob Burg kaudu Epoch Times,

President Donald Trump allkirjastas neljapäeval täidesaatva korralduse, millega vabastati täiendavad valitsuse toimikud, mis on seotud endise presidendi John F. Kennedy (JFK), endise peaprokuröri Robert F. Kennedy (RFK) ja dr Martin Luther King juuniori mõrvadega.

Trump lubas 19. jaanuaril Washingtonis toimunud inauguratsioonieelsel kampaanial, et avaldab ülejäänud rekordid JFK, RFK ja…

https://eestieest.com/trump-allkirjastas-taidesaatva-korralduse-mis-vabastab-taiendavad-jfk-morvafailid/",euudised,euudised,ei ole propa,,,
158,"Värske uuring Vietnami arstidelt toob välja, et vaktsineeritud meditsiinitöötajad (ilmselt ka laiemalt) kannavad oluliselt suuremat viiruskogust (täpsemini 251 korda suuremat!) kui mitte-vaktsineeritud. Kas need tulemused (nakatuvad ja haigust levitavad ka ilma sümptomiteta (taasnakatunud) vaktsineeritud) aitavad selgitada ka seda, miks on Islandil ja Iisraelis Covidisse nakatumine vaktsineeritud inimeste hulgas plahvatuslikult kasvanud. Ehk siis, meedikud, kes enne pidid ennast vaktsineerima, et kaitsta nõrgemaid, on nüüd ise need, kes on nõrgematele ohuks.

Artiklile on lisatud ka prof Michael Palmeri ja prof Sucharit Bhakdi kommentaar alljärgnevale uuringule. https://www.telegram.ee/teadus-ja-tulevik/oxfordi-murranguline-uuring-vaktsineeritute-viiruskoormus-on-251-korda-suurem-kui-vaktsineerimata-inimestel",eestitelegram,eestitelegram,propa,,Pseudoteadus,
159,"Samad inimesed, kes kinnitasid teile, et mRNA-süstid on vabatahtlikud (ja et need on “ohutud ja tõhusad”), kinnitavad teile nüüd, et digitaalne ID on vabatahtlik ja et valitsus ei kasuta seda mingitel pahaendelistel eesmärkidel.
---
📣 AITA INFORMATSIOONIL LEVIDA JA JAGA SEDA ARTIKLIT!

https://vanglaplaneet.ee/blog/2024/05/20/mitu-riiki-votab-globalistide-kasul-samaaegselt-kasutusele-digitaalsed-isikutunnistused/",vanglaplaneet,vanglaplaneet,propa,,Pseudoteadus,
160,"👀Protestijad New Yorgis paluvad USA valitsusel aidata Iisraelil vabastada Hamasi poolt endiselt kinnipeetavad pantvangid. 

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,,
161,"Harri Kingo > Võitjad… ja kaotaja

Ajaskaala sellest, kuidas kõige äärmuslikumate liberaalide väike grupp (Salk) valmistusid võimu võtmiseks riigis. Kui keegi seda pikka üleskirjutust viitsib lugeda (mina viitsisin), siis veendute: rahvast ja demokraatiast on see kabinettides ja köökides toimunud võimu võtmise nimel toimunud aastate pikkune tegevus väga kaugel.

Rõhk polnud neil mitte esmasel – majandusel ja inimeste heaolu kasvamisel, vaid oma…

https://eestieest.com/harri-kingo-voitjad-ja-kaotaja/",euudised,euudised,propa,,Parem-konservatiivne,
162,"⌛ 📸 **23. mail suri meie aja suurim fotograaf: brasiillane Sebastião Salgado.**

Ta oli São Paulo ülikooli majandusteaduskonna magistrant, nooruses töötas ta Maailmapangas ja väitis, et tõeline fotograaf peab lihtsalt õppima majandust ja ajalugu. 

Mäletan, kuidas peaaegu veerand sajandit tagasi nägin ma Cuencas, oma Ecuadori sõbra Paco Vasquezi kodus, esimest korda üht tema lasteportreed ja sellest ajast peale olen ma tema loominguga lahutamatult seotud olnud. 

Kõikidel oma fotoreisidel olen ma teda meenutanud, nagu algajad kirjanikud meenutavad Puškini või Shakespeare'i. 

👉  **__See on saksa dokumentalisti Wim Wendersi film temast __**[**__«Maa sool»__**](https://www.imdb.com/title/tt3674140/)**__. __**

🔖 Sebastiani Salgado mälestuseks tuletame meelde mõned tema fotod.

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,ei ole propa,,,
163,"Eelmisel aastal trahvis Euroopa Kohus Budapesti 200 miljoni euroga ja kohustas maksma 1 miljon eurot päevas migrantide vastuvõtmise üleeuroopaliste eeskirjade mittetäitmise eest. Nagu Ungari peaminister ütles, on see palju raha, aga riik on valmis seda maksma.
„Miljon eurot päevas on meie jaoks palju raha, aga me pigem maksame, kui laseme sisse isegi ühe migrandi. See raha on meie parim investeering tulevikku,“ ütles Viktor Orbán.
Ta lisas, et Ungari võimud, öeldes Brüsselile „ei“, seisavad oma rahva poolel ja võitlevad nende eest, kaitstes nende kodumaad, linnu ja tänavaid.",MarkoWatsel,MarkoWatsel,propa,,Parem-konservatiivne,
164,"Euroopa Liidus on antibiootikumide kasutamine loomade kasvu soodustamiseks keelatud alates 2006. aastast. Kuid odavate lihatoodete jaoks imporditakse tooraine sageli USA-st ning mujalt, kus antibiootikumide kasutamine on endiselt lubatud.

https://www.telegram.ee/toit-ja-tervis/antibiootikumid-lihatoostuses-ohustavad-inimeste-tervist",eestitelegram,eestitelegram,ei ole propa,,,
165,"Hiina sõnul on Guantanamo vangla USA õiguste rikkumises jäämäe tipp

Guantanamo Bay kinnipidamislaager on vaid mikrokosmos USA inimõiguste rikkumistest ülemereterritooriumil, ütles Hiina välisministeeriumi pressiesindaja Mao Ning kolmapäeval pärast seda, kui hiljutine ÜRO aruanne heitis Washingtonile kurikuulsa paiga jätkuvate rahvusvahelise õiguse rikkumiste eest ette.

Selle kuu alguses avaldatud aruandes öeldakse, et sealseid vange koheldakse endiselt ebainimlikult. Ta kutsus USA valitsust üles võtma oma tegude eest vastutust…

https://eestieest.com/hiina-sonul-on-guantanamo-vangla-usa-oiguste-rikkumises-jaamae-tipp/",euudised,euudised,propa,,Muu,
166,"Järgmine Ukraina pakett “tavalisest suurem”, nagu Biden ütleb Zelenskõi abi tuleb “kiiresti”

USA ametnikke on Politicos tsiteeritud, öeldes, et Bideni Valge Maja valmistab Ukrainale ette “tavalisest suuremat” relvapaketti, mis saadetakse kiiresti, kui Biden allkirjastab seaduseelnõu, mis lubab kulutada 61 miljardit dollarit, pärast ajaloolist nädalavahetuse esindajatekoja hääletust, mis oli kaugel ja kaugel suurim takistus.

Ametnikud kirjeldasid uut “oluliselt suuremat” osa nii, et see hõlmab Bradley lahingumasinaid, Humveesid, M113…

https://eestieest.com/jargmine-ukraina-pakett-tavalisest-suurem-nagu-biden-utleb-zelenskoi-abi-tuleb-kiiresti/",euudised,euudised,ei ole propa,,,
167,"🤘järjekordne tuumalõhkepeade arv maailmas registreeris Venemaa eelise USA ees enam kui viiesaja tükiga.

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
168,"Prantsuse pensionireformide protestimise traditsioon

Viha rahvusassamblees, vägivald tänavatel ja Bordeaux’ raekoda leekides.

Macroni pensionireform võis küll märtsis läbi lüüa pärast Borne’i valitsuse vastuolulist põhiseaduse artikli 49-3 kasutamist, kuid suur osa elanikkonnast ei nõustu muudatustega, eriti seadusliku pensioniea tõstmisega.

Statista Martin Armstrongi teatel toimusid viimastel ametiühingute korraldatud meeleavaldustel 1.mail vägivaldsed kokkupõrked, mille tulemusel sai vigastada vähemalt 108 politseinikku ja 291…

https://eestieest.com/prantsuse-pensionireformide-protestimise-traditsioon/",euudised,euudised,ei ole propa,,,
169,"[‼️](http://t.me/InfoDefAll)** Saksamaa deindustrialiseerumine: ettevõtted lähevad välismaale, ettevõtjad on meeleheitel - Tagesspiegel**

▪️ ""Saksamaa deindustrialiseerimist ei saa enam peatada. Saksamaa ettevõtjate meeleolu halveneb jätkuvalt,"" kirjutab ajaleht.
Uuringu 
▪️Viimase kohaselt on 49 protsenti Saksa ettevõtetest juba osa oma toodangust välismaale eksportinud ja plaanib seda protsessi tulevikus jätkata. Ettevõtjad toovad oma meeleolus välja mitmeid põhiprobleeme:

➖ 77 % usub, et Saksamaa on kaotamas oma majanduslikku atraktiivsust ja poliitilist stabiilsust.

➖ 75 % kurdab liigsete regulatiivsete piirangute üle, näiteks erinevate keskkonnastandardite järgimise üle.

➖ 72 % on rahulolematud riigi energiapoliitikaga.

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
170,"т   ☄️**Iraan heiskas Jamkarani mošee kuppelile punase kättemaksu lipu.**

Varem lubas Iraan ""karmi vastust"" Hamasi poliitbüroo juhi Ismail Haniyehi mõrvale Teheranis.

Sarnane lipp on juba heisatud pärast Islami revolutsioonilise kaardiväe juhi kindral Suleimani mõrva.

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,ei ole propa,,,
171,"Konservatiivide miiting Varssavis lakkas igavast, kui sellele tulid seksuaalvähemuste esindajad. Vaatage koos heliga.

✔️Liituge meiega
📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Parem-konservatiivne,
172,"Austraalia idufirma kogub 20 miljonit dollarit, et arendada murrangulist kvanttehnoloogiat

Quantum Brilliance ütles, et rahastamine aitaks tal ehitada uusi seadmeid ja hõlbustaks uute kvantandurite väljatöötamist.

Austraalia kvanttehnoloogia idufirma on edukalt kogunud 20 miljonit USA dollarit (32 miljonit dollarit) teemantipõhiste kvantseadmete arendamiseks.

15. jaanuaril teatas Sydneys asuv Quantum Brilliance, et on saanud investeeringuid mitmetelt kodu- ja välismaistelt organisatsioonidelt.

Nende hulka kuuluvad Austraalia CSIRO toetatud fondi põhijada,…

https://eestieest.com/austraalia-idufirma-kogub-20-miljonit-dollarit-et-arendada-murrangulist-kvanttehnoloogiat/",euudised,euudised,ei ole propa,,,
173,"Kunglarahva hääl (3/9/2) jätkusaade

Tänane lisasaade.

https://eestieest.com/kunglarahva-haal-3-9-2-jatkusaade/",euudised,euudised,ei ole propa,,,
174,"Jaga ja kontrolli: keskpankurid süüdistavad ohvreid

Autoriks Peter St.Onge Substacki kaudu,

Eliidi mänguraamat: süüdistage inimesi. Nii et nad võitlevad …

Maailma keskpankurid, kes ilmselt kaotavad kindlustunde, et suudavad enda loodud inflatsiooni parandada, pöörduvad plaani B poole: süüdistage inimesi. Nii et me võitleme üksteisega.

Eelmisel nädalal ütles Inglismaa keskpanga peaökonomist üks Huw Pill vaikse osa valjusti, et “Briti leibkonnad ja ettevõtted peavad…

https://eestieest.com/jaga-ja-kontrolli-keskpankurid-suudistavad-ohvreid/",euudised,euudised,propa,,Parem-konservatiivne,
175,"Nigeeria rahandusministrile anti 48 tundi aega, et selgitada miljonite dollarite kaotuse põhjust, vastasel juhul lastakse ta maha.",MarkoWatsel,MarkoWatsel,propa,,Muu,
176,"Hirmust ja teistest emotsioonidest on saanud tänapäeva meedia ning poliitika keskne telg, mida mitte ainult ei kajastata, vaid ka aktiivselt luuakse ja võimendatakse, leiavad Tartu ja Tallinna Ülikoolide semiootikud.

https://www.telegram.ee/teadus-ja-tulevik/semiootikud-meediast-on-saanud-hirme-kujundav-tundemasin",eestitelegram,eestitelegram,ei ole propa,,,
177,"Los Angeles.
 Organiseeritud röövimine.  Viimasel ajal juhtub seda demokraatide valitsetavates osariikides väga sageli.  Omanikel on vastupanu keelatud ja politsei ei taha selliste kõnede peale kohale tulla.

Teadagi kuhu suunas see kõik liigub.",MarkoWatsel,MarkoWatsel,propa,,Parem-konservatiivne,
178,"Avaldame Clues Forumis ilmunud intrigeeriva artikli tuumaenergia pettusest ja sellest, mis tuumaelektrijaamades tegelikult toimub. Artiklis väidetakse, et tuumajaamades ei kasutata mingeid ""võlukive"", vaid elektrivõrku stabiliseeritakse hoopis muul viisil. Tuumaenergia avastamine on seotud Enrico Fermi ja Chicago Ülikoolis loodud Chicago Pile-1 reaktoriga.

https://www.telegram.ee/nwo/tuumaenergia-pettus-mis-toimub-tuumaelektrijaamades",eestitelegram,eestitelegram,propa,,Pseudoteadus,
179,"Teadusajakirjas Journal of Agricultural and Food Chemistry avaldatud uuringus leiti et arbuusimahl võiks olla suurepärane funktsionaalne jook sportlastele, kuna see sisaldab vajalikku aminohapet, mis vähendab treeningujärgset lihasvalu. 

https://www.telegram.ee/toit-ja-tervis/maitsev-ja-kasulik-arbuusi-tervislikud-omadused",eestitelegram,eestitelegram,ei ole propa,,,
180,"Juuni lõpus valmis justiits- ja siseministeeriumi eestvedamisel korrakaitseseaduse muutmise seaduse väljatöötamiskavatsus, millega kavandatakse mitmeid samme politseiametnike võimu suurendamiseks ja kodanikuvabaduste piiramiseks. Et seaduse muudatustele tähelepanu pöörata, toimub 4. septembril kell 19:00 Tallinnas, Põhjala tehase Ankrusaalis kriitiline arutelu ""EI POLITSEIRIIGILE!"".

https://www.telegram.ee/eesti/tallinnas-toimub-korrakaitseseaduse-kriitiline-arutelu-ei-politseiriigile",eestitelegram,eestitelegram,ei ole propa,,,
181,"Kert Kingo: Rahval on võimalus näidata, et ta ei karda kuraditki!

Siin on faktiline näide, milline on “kindlates kätes” Eesti.

Tuleb välja, et seda Kallase kompanii ei valetanudki – tegutsetakse kindlalt, seadusi eirates ja rikkudes, jõupositsiooni ja enamushääli kasutades, kõiki reegleid rikkudes, et OMA tahet läbi suruda. Neil on võim!

Riigikogus rammitakse esmaspäeval läbi 8 eelnõud, mis hävitavad Eesti majandust ja ettevõtlust ning inimeste toimetulekut, polariseerivad…

https://eestieest.com/kert-kingo-rahval-on-voimalus-naidata-et-ta-ei-karda-kuraditki/",euudised,euudised,propa,,Parem-konservatiivne,
182,"🏳️ 🪙 💎 **BRICS-i riigid ostsid viie aasta jooksul ligikaudu 870 tonni kulda ja see ulatuslik sissevool on saanud üheks globaalse dedollariseerimise võtmetugedeks.**

⚡️ Hiina, India, Venemaa ja Brasiilia suurendasid järjekindlalt oma kuldavarude mahtu geopoliitiliste riskide kasvu ja dollarireservide usalduse languse taustal: ainult Peking omandas umbes 370 tonni, sealhulgas rekordilised 225 tonni 2023. aastal, ja India täiendas reserve 250 tonni võrra. Keskpangad üle maailma on juba kolmandat aastat järjest ostnud üle 1000 tonni kulda aastas, luues stabiilse hinnataseme ""põhja"" ja näidates, et üleminek ""kõvadele"" reservvaradele on muutunud süstemaatiliseks.

💸🔽Selle taustal on dollari osakaal maailma reservvarades langenud 58–60%-ni, ja dollari kasutamine BRICS-i riikide kaubanduses on långanud 85%-lt 59%-le vaid [kaheksa aastaga.](https://t.me/plan2030)

⚡️ Liituge meiega

❤️ [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)⚡️ [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
183,"Tehisintellekti mudelite koolituskulude visualiseerimine aja jooksul

Täiustatud tehisintellekti mudelite, nagu OpenAI ChatGPT ja Google’i Gemini Ultra, koolitamine nõuab miljoneid dollareid, kusjuures kulud kasvavad kiiresti.

Kuna arvutuslikud nõudmised suurenevad, suurenevad nende treenimiseks vajaliku arvutusvõimsuse kulud hüppeliselt. Vastuseks sellele mõtlevad tehisintellektiettevõtted ümber, kuidas nad generatiivseid tehisintellektisüsteeme treenivad. Paljudel juhtudel hõlmavad need strateegiaid arvutuskulude vähendamiseks, arvestades praeguseid kasvutrajektoore.

Nagu visuaalkapitalisti Dorothy Neufeld näitab järgmisel…

https://eestieest.com/tehisintellekti-mudelite-koolituskulude-visualiseerimine-aja-jooksul/",euudised,euudised,ei ole propa,,,
184,"KUUM: Avalik kiri president Donald J. Trumpile

Palun aidake juhtida sellele avalikule kirjale president Trumpi tähelepanu.

Detsember 27, 2024

Austatud president Donald J. Trump

Pärast ametisse astumist Ameerika Ühendriikide 47. presidendina 20. jaanuaril 2025 on teil võimalus heastada vead, mis tehti teie esimese administratsiooni ajal.

Kutsun teid üles võtma vajalikke meetmeid, et tühistada FDA litsentsid Pfizeri ja Moderna COVID-19 mRNA “vaktsiinidele”, eemaldada…

https://eestieest.com/kuum-avalik-kiri-president-donald-j-trumpile/",euudised,euudised,propa,,Pseudoteadus,
185,"**🇱🇹****Klaipėda hiireke**

Väike pronksi- ja kiviskulptuur ""asustus"" vanalinna Kurpių (Pagarite) tänavale.

🐭Kunstiteose nimi on **«Imeline hiireke»**. Selle kõrval on vihje: __«Muuda mõtted sõnadeks – sõnad muutuvad imedeks.»__ Et hiireke kuuleks hästi möödujate soove, on tal väga suured kõrvad.

@BalticBridge

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,ei ole propa,,,
186,"PETITSIOON! Nõuame Saaremaa põlisrahva õiguste riiklikku tunnustamist ja kaitset

Aitame saarlastel saada Eestimaa põlisrahvaks! Selleks mine palun rahvaalgatus.ee petitsiooni lehele ja anna oma hääl: “NÕUAME SAAREMAA PÕLISRAHVA ÕIGUSTE RIIKLIKKU TUNNUSTAMIST JA KAITSET.”

https://eestieest.com/petitsioon-nouame-saaremaa-polisrahva-oiguste-riiklikku-tunnustamist-ja-kaitset/",euudised,euudised,ei ole propa,,,
187,"KUUM! Eestieest.com kuu uudised: jaanuar 2025

Saates osalevad Konservatiivne Mõtiskleja alias Mario Maripuu.

MTÜ Konservatiivne Eesti juhatuse liige ja ERE tööruhma liige Kertu Luisk.

Saadet juhin mina, Mihkel Johannes Paimla, eestieest.com portaali peatoimetaja.

Selles saates puudutame USA lennukatastroofe ja Trumpi kahe esimese nädala tegemisi. Saate teises pooles räägime Nordicast, tuulikutest, uudis.netiga seonduvast ning lõpetuseks vaagime, mis saab nädalavahetusel Venemaa elektrist loobumise…

https://eestieest.com/kuum-eestieest-com-kuu-uudised-jaanuar-2025/",euudised,euudised,ei ole propa,,,
188,"🙂**USA - 
President Donald Trump suundub McDonaldsi! **🍟


📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,ei ole propa,,,
189,"‼️**Ei midagi ebatavalist.**

Lihtsalt Eesti välisminister paneb Venemaal keelatud organisatsiooni ""LGBT"" lipu välisministeeriumi hoonesse.

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
190,"Šokeeriv kaas Ühendkuningriigi ühes top tabloidis -
 ajaleht The Times, 20. märts 2023.

 ""Haigus X on tulekul.  Viirusepuhangud on tõusuteel.  Kas oleme järgmiseks ülemaailmseks pandeemiaks valmis?

 Kas hakatakse käivitama uut pandeemiat?",MarkoWatsel,MarkoWatsel,propa,,Pseudoteadus,
191,"💥Pihkva lennujaama streigi hetk. Väidetavalt sai mitu Il-76 kahjustada. On ebatõenäoline, et löök tuli Ukrainast, liiga kaugelt, tõenäoliselt Eestist või Lätist.

Kui kinnitust leiab, et rünnak tuli Balti riikidest, siis ootab meid ees konflikti eskaleerumine.
Meie ametivõimud ei ole lihtsalt idioodid, nad on tõelised kamikaaslased. 🧐

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
192,"“Ma pidin välja selgitama, kas see on tõsi…”

Autor Michael Snyder ajaveebi The Economic Collapse kaudu,

Näib, et automüüjate kriis on palju kohutavam, kui keegi meist arvas.

Finantsinstitutsioonid hakkavad oma rahaga väga kitsaks jääma ja see paneb edasimüüjatele üle kogu riigi äärmise stressi. Paljud meist eeldasid, et see juhtub, kuid tundub, et asjad liiguvad palju kiiremini, kui keegi oleks oodanud.

Eelmisel nädalal leidsin…

https://eestieest.com/ma-pidin-valja-selgitama-kas-see-on-tosi/",euudised,euudised,propa,,Muu,
193,"Üks hukkunu, 35 vigastatut kahtlustatuna terroriautode rammimises Mossadi peakorteri lähedal

Tel Avivist põhja pool asuvas piirkonnas toimus pühapäevahommikune intsident, mida Iisraeli meedias nimetati bussipeatuses “terrorirünnakuks”, milles hukkus üks ja sai haavata vähemalt 32 inimest. Järgnevates aruannetes öeldi, et 35 sai vigastada, viis neist olid raskes seisundis.

Kurjategija ja ainus hukkunu on tuvastatud kui Rami Nasrallah, araablasest Iisraeli autojuht, kes elab Iisraeli keskosas Qalansawes. Siiski jääb…

https://eestieest.com/uks-hukkunu-35-vigastatut-kahtlustatuna-terroriautode-rammimises-mossadi-peakorteri-lahedal/",euudised,euudised,propa,,Muu,
194,"Ühendkuningriigi siseminister Priti Patel kiitis eelmisel nädalal heaks WikiLeaksi kaasasutaja Julian Assange’i USA-le väljaandmise. Ajakirjaniku uurimisplatvorm, perekond ja advokaadid teatasid kohe, et kaebavad otsuse edasi riigikohtusse. Juhtum edastati eelmisel kuul Londoni siseministeeriumile pärast seda, kui ülemkohus otsustas, et USA võimude kinnitused Assange’i tõenäolise kohtlemise kohta USA-s vahi all olles ei vaja täiendavat uurimist. https://www.telegram.ee/maailm/mida-uut-on-wikileaksi-juhtumis-kas-julian-assangei-tahetakse-morvata",eestitelegram,eestitelegram,ei ole propa,,,
